index,element,allegro-mp-l,chgnet,dpa-3.1-3m-ft,dpa-3.1-mptrj,eqnorm-mptrj,hienet,mace-mp,mace-mp-0,mace-mpa-0,mattersim-v1,nequip-mp-l,nequip-oam-l,nequix-mp-pft,orb-v2,orb-v2-mptrj,orb-v3,pet-oam-xl,sevennet-l3i5,sevennet-omni,tace-v1-oam-m
1,H,-1.1176,-1.1507,-0.9704,-1.0007,-1.0882,-0.3493,-1.159,-1.0864,-1.1173,-1.4459,-1.1176,-1.1176,-1.0235,-0.9333,-1.0042,-1.1253,-3.0122,-1.0735,-0.9103,-1.1176
2,He,-0.0005,0.159,-0.0796,0.0601,0.5066,0.7048,0.0107,0.0082,0.001,0.1602,-0.0005,-0.0005,0.1644,0.0913,0.0544,0.1276,0.0469,0.456,-0.0017,-0.0005
3,Li,-0.2974,-0.4774,-0.1283,-0.3388,-0.509,-0.5758,-0.9214,-1.0696,-0.2975,-0.9958,-0.2974,-0.2974,-0.873,-0.202,-0.3514,-0.611,-2.0614,-0.4836,-0.3061,-0.2974
4,Be,-0.0181,-0.2747,0.0464,-0.0793,-0.0826,0.042,-0.3392,-0.7298,-0.0178,-0.1816,-0.0181,-0.0181,0.0089,-0.0488,-0.1153,0.0201,-2.8285,-0.1748,0.058,-0.0181
5,B,-0.4447,-1.3621,-0.2598,-0.6597,-0.5598,-0.751,-0.7036,-1.4327,-0.2689,-1.1331,-0.4447,-0.4447,-0.3065,-0.5873,-0.8046,-0.494,-5.555,-1.0028,-0.1615,-0.4447
6,C,-1.3865,-2.1981,-1.4586,-1.503,-1.9719,-2.1555,-1.6918,-2.0563,-1.2617,-2.4347,-1.3865,-1.3865,-2.0492,-1.5028,-1.826,-1.8433,-6.961,-1.9051,-1.0996,-1.3865
7,N,-3.1256,-3.0464,-3.0246,-3.1181,-3.1088,-2.9639,-2.9562,-2.8371,-3.1244,-3.2905,-3.1256,-3.1256,-3.0474,-3.0936,-3.1122,-3.169,-7.5713,-2.8419,-2.9585,-3.1256
8,O,-1.9067,-2.7644,-2.1219,-2.058,-1.9631,-2.1107,-2.0815,-2.0121,-1.5484,-3.1959,-1.9067,-1.9067,-1.9817,-1.8749,-1.8703,-2.7594,-6.8321,-1.9894,-1.7515,-1.9067
9,F,-0.7674,-1.3435,-1.2452,-1.8934,-1.7592,-1.5815,-2.2831,-2.3919,-0.5188,-2.9408,-0.7674,-0.7674,-1.9577,-1.0174,-1.046,-3.4499,-4.5112,-1.685,-1.0064,-0.7674
10,Ne,-0.0121,1.6487,-0.1141,2.6124,1.2275,1.1704,0.1544,-0.0287,-0.0124,-0.1546,-0.0121,-0.0121,0.6567,0.0711,0.0906,0.2293,0.3954,0.1826,-0.0535,-0.0121
